Description,Usecase Info,Sign,Accounted Amount,Original Amount,Original Currency,Rule Id,Rule version,Journal Reference,Event number,Event version,Transaction date,Accounting date,Accounting period,Posted to ledger,Document number,Original Document Number,Original Event Number,Original Event Version,Source document type,Source document reference,Transaction,Amount Type,Amount Sub Type,Amount Category,Difference Type,Issuance Date,Document Type,SubEntity Type,SubEntity Number,Journal Date,Degraded,Aggregation 1,Aggregation 2,Aggregation 3,Aggregation 4,Aggregation 5,Aggregation 6,Aggregation 7,Aggregation 8,Aggregation 9,Aggregation 10,Ledger account number,Destination Ledger Type,Cost Center,Journal Transaction Currency,Aggregated Journal Line ID
AGMEBI-Agency Memo-AMS,AGENCY_MEMO_SETTLEMENT,DEBIT,5246.54,58.50,EUR2,387746089,1,58883532#0#0,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,57201465/6098592666,,,,Sales Reporting Document,1AMSNL240720230834098,AGMEBI,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,BSP-NL,,EUR,,20230723,,,,,,1109003155,GL,,EUR2,0
AGMEBI-Agency Memo-AMS,AGENCY_MEMO_SETTLEMENT,DEBIT,1140.79,12.72,EUR2,387746089,1,58883581#0#0,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,57211534/6098592665,,,,Sales Reporting Document,1AMSNL240720230834098,AGMEBI,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,BSP-NL,,EUR,,20230723,,,,,,1109003155,GL,,EUR2,0
AGMEBI-Agency Memo-AMS,AGENCY_MEMO_SETTLEMENT,CREDIT,5246.54,58.50,EUR2,387746089,1,58883532#0#0,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,57201465/6098592666,,,,Sales Reporting Document,1AMSNL240720230834098,AGMEBI,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003730,GL,,EUR2,1
AGMEBI-Agency Memo-AMS,AGENCY_MEMO_SETTLEMENT,CREDIT,1140.79,12.72,EUR2,387746089,1,58883581#0#0,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,57211534/6098592665,,,,Sales Reporting Document,1AMSNL240720230834098,AGMEBI,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003730,GL,,EUR2,1
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,DEBIT,0.00,0.00,EUR2,387746563,1,58883532#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,57201465/6098592666,,,,Sales Reporting Document,1AMSNL240720230834098,AGMEVA,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003730,GL,ARC,EUR2,2
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,DEBIT,0.00,0.00,EUR2,387746563,1,58883581#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,57211534/6098592665,,,,Sales Reporting Document,1AMSNL240720230834098,AGMEVA,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003730,GL,ARC,EUR2,2
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,CREDIT,0.00,0.00,EUR2,387746073,1,58883581#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,57211534/6098592665,,,,Sales Reporting Document,1AMSNL240720230834098,AGMEVA,TAX,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003736,GL,ARC,EUR2,3
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,DEBIT,0.00,,INR2,387746073,1,58883581#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,57211534/6098592665,,,,Sales Reporting Document,1AMSNL240720230834098,AGMEVA,TAX,,NEGATIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003736,GL,ARC,EUR2,4
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,CREDIT,0.00,0.00,EUR2,387746074,1,58883532#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,57201465/6098592666,,,,Sales Reporting Document,1AMSNL240720230834098,AGMEVA,FAR,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,3301001000,GL,ARC,EUR2,5
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,DEBIT,0.00,,INR2,387746074,1,58883532#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,57201465/6098592666,,,,Sales Reporting Document,1AMSNL240720230834098,AGMEVA,FAR,,NEGATIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,3301001000,GL,ARC,EUR2,6
